date,dem_pct_bo,gop_pct_bo
"Mon, 07 Nov 2016 00:00:00 -0600",88,13
"Sun, 06 Nov 2016 00:00:00 -0500",88,12
"Sat, 05 Nov 2016 00:00:00 -0500",84,15
"Fri, 04 Nov 2016 00:00:00 -0500",80,20
"Thu, 03 Nov 2016 00:00:00 -0500",76,24
"Wed, 02 Nov 2016 00:00:00 -0500",78,22
"Tue, 01 Nov 2016 00:00:00 -0500",79,21
"Mon, 31 Oct 2016 00:00:00 -0500",81,19
"Sun, 30 Oct 2016 00:00:00 -0500",82,18
"Sat, 29 Oct 2016 00:00:00 -0500",81,18
"Fri, 28 Oct 2016 00:00:00 -0500",79,21
"Thu, 27 Oct 2016 00:00:00 -0500",84,16
"Wed, 26 Oct 2016 00:00:00 -0500",84,16
"Tue, 25 Oct 2016 00:00:00 -0500",86,14
"Mon, 24 Oct 2016 00:00:00 -0500",85,15
"Sun, 23 Oct 2016 00:00:00 -0500",85,15
"Sat, 22 Oct 2016 00:00:00 -0500",85,15
"Fri, 21 Oct 2016 00:00:00 -0500",85,15
"Thu, 20 Oct 2016 00:00:00 -0500",85,15
"Wed, 19 Oct 2016 00:00:00 -0500",85,15
"Tue, 18 Oct 2016 00:00:00 -0500",85,15
"Mon, 17 Oct 2016 00:00:00 -0500",85,15
"Sun, 16 Oct 2016 00:00:00 -0500",85,15
"Sat, 15 Oct 2016 00:00:00 -0500",85,15
"Fri, 14 Oct 2016 00:00:00 -0500",85,15
"Thu, 13 Oct 2016 00:00:00 -0500",86,14
"Wed, 12 Oct 2016 00:00:00 -0500",86,14
"Tue, 11 Oct 2016 00:00:00 -0500",86,14
"Mon, 10 Oct 2016 00:00:00 -0500",84,16
"Sun, 09 Oct 2016 00:00:00 -0500",80,20
"Sat, 08 Oct 2016 00:00:00 -0500",81,19
"Fri, 07 Oct 2016 00:00:00 -0500",78,22
"Thu, 06 Oct 2016 00:00:00 -0500",75,25
"Wed, 05 Oct 2016 00:00:00 -0500",76,24
"Tue, 04 Oct 2016 00:00:00 -0500",76,24
"Mon, 03 Oct 2016 00:00:00 -0500",75,25
"Sun, 02 Oct 2016 00:00:00 -0500",75,25
"Sat, 01 Oct 2016 00:00:00 -0500",74,26
"Fri, 30 Sep 2016 00:00:00 -0500",75,25
"Thu, 29 Sep 2016 00:00:00 -0500",72,28
"Wed, 28 Sep 2016 00:00:00 -0500",71,29
"Tue, 27 Sep 2016 00:00:00 -0500",71,29
"Mon, 26 Sep 2016 00:00:00 -0500",70,30
"Sun, 25 Sep 2016 00:00:00 -0500",67,33
"Sat, 24 Sep 2016 00:00:00 -0500",68,32
"Fri, 23 Sep 2016 00:00:00 -0500",68,32
"Thu, 22 Sep 2016 00:00:00 -0500",68,32
"Wed, 21 Sep 2016 00:00:00 -0500",68,32
"Tue, 20 Sep 2016 00:00:00 -0500",69,31
"Mon, 19 Sep 2016 00:00:00 -0500",69,31
"Sun, 18 Sep 2016 00:00:00 -0500",68,32
"Sat, 17 Sep 2016 00:00:00 -0500",69,31
"Fri, 16 Sep 2016 00:00:00 -0500",67,33
"Thu, 15 Sep 2016 00:00:00 -0500",66,34
"Wed, 14 Sep 2016 00:00:00 -0500",67,33
"Tue, 13 Sep 2016 00:00:00 -0500",71,29
"Mon, 12 Sep 2016 00:00:00 -0500",71,29
"Sun, 11 Sep 2016 00:00:00 -0500",71,29
"Sat, 10 Sep 2016 00:00:00 -0500",72,28
"Fri, 09 Sep 2016 00:00:00 -0500",72,28
"Thu, 08 Sep 2016 00:00:00 -0500",72,28
"Wed, 07 Sep 2016 00:00:00 -0500",71,29
"Tue, 06 Sep 2016 00:00:00 -0500",73,27
"Mon, 05 Sep 2016 00:00:00 -0500",71,29
"Sun, 04 Sep 2016 00:00:00 -0500",73,27
"Sat, 03 Sep 2016 00:00:00 -0500",74,26
"Fri, 02 Sep 2016 00:00:00 -0500",75,25
"Thu, 01 Sep 2016 00:00:00 -0500",75,25
"Wed, 31 Aug 2016 00:00:00 -0500",77,23
"Tue, 30 Aug 2016 00:00:00 -0500",78,22
"Mon, 29 Aug 2016 00:00:00 -0500",78,22
"Sun, 28 Aug 2016 00:00:00 -0500",80,20
"Sat, 27 Aug 2016 00:00:00 -0500",79,21
"Fri, 26 Aug 2016 00:00:00 -0500",79,21
"Thu, 25 Aug 2016 00:00:00 -0500",80,20
"Wed, 24 Aug 2016 00:00:00 -0500",80,20
"Tue, 23 Aug 2016 00:00:00 -0500",79,21
"Mon, 22 Aug 2016 00:00:00 -0500",80,20
"Sun, 21 Aug 2016 00:00:00 -0500",80,20
"Sat, 20 Aug 2016 00:00:00 -0500",80,20
"Fri, 19 Aug 2016 00:00:00 -0500",80,20
"Thu, 18 Aug 2016 00:00:00 -0500",81,19
"Wed, 17 Aug 2016 00:00:00 -0500",81,19
"Tue, 16 Aug 2016 00:00:00 -0500",81,19
"Mon, 15 Aug 2016 00:00:00 -0500",80,20
"Sun, 14 Aug 2016 00:00:00 -0500",80,20
"Sat, 13 Aug 2016 00:00:00 -0500",80,20
"Fri, 12 Aug 2016 00:00:00 -0500",80,20
"Thu, 11 Aug 2016 00:00:00 -0500",80,20
"Wed, 10 Aug 2016 00:00:00 -0500",80,20
"Tue, 09 Aug 2016 00:00:00 -0500",80,20
"Mon, 08 Aug 2016 00:00:00 -0500",77,23
"Sun, 07 Aug 2016 00:00:00 -0500",76,24
"Sat, 06 Aug 2016 00:00:00 -0500",76,24
"Fri, 05 Aug 2016 00:00:00 -0500",77,23
"Thu, 04 Aug 2016 00:00:00 -0500",77,23
"Wed, 03 Aug 2016 00:00:00 -0500",77,23
"Tue, 02 Aug 2016 00:00:00 -0500",74,26
"Mon, 01 Aug 2016 00:00:00 -0500",72,28
"Sun, 31 Jul 2016 00:00:00 -0500",70,30
"Sat, 30 Jul 2016 00:00:00 -0500",69,31
"Fri, 29 Jul 2016 00:00:00 -0500",69,31
"Thu, 28 Jul 2016 00:00:00 -0500",68,32
"Wed, 27 Jul 2016 00:00:00 -0500",67,33
"Tue, 26 Jul 2016 00:00:00 -0500",67,33
"Mon, 25 Jul 2016 00:00:00 -0500",67,33
"Sun, 24 Jul 2016 00:00:00 -0500",70,30
"Sat, 23 Jul 2016 00:00:00 -0500",70,30
"Fri, 22 Jul 2016 00:00:00 -0500",70,30
"Thu, 21 Jul 2016 00:00:00 -0500",70,30
"Wed, 20 Jul 2016 00:00:00 -0500",70,30
"Tue, 19 Jul 2016 00:00:00 -0500",69,31
"Mon, 18 Jul 2016 00:00:00 -0500",69,31
"Sun, 17 Jul 2016 00:00:00 -0500",70,30
"Sat, 16 Jul 2016 00:00:00 -0500",70,30
"Fri, 15 Jul 2016 00:00:00 -0500",70,30
"Thu, 14 Jul 2016 00:00:00 -0500",71,29
"Wed, 13 Jul 2016 00:00:00 -0500",73,27
"Tue, 12 Jul 2016 00:00:00 -0500",75,25
"Mon, 11 Jul 2016 00:00:00 -0500",75,25
"Sun, 10 Jul 2016 00:00:00 -0500",76,24
"Sat, 09 Jul 2016 00:00:00 -0500",75,25
"Fri, 08 Jul 2016 00:00:00 -0500",75,25
"Thu, 07 Jul 2016 00:00:00 -0500",75,25
"Wed, 06 Jul 2016 00:00:00 -0500",74,26
"Tue, 05 Jul 2016 00:00:00 -0500",75,25
"Mon, 04 Jul 2016 00:00:00 -0500",75,25
"Sun, 03 Jul 2016 00:00:00 -0500",75,25
"Sat, 02 Jul 2016 00:00:00 -0500",75,25
"Fri, 01 Jul 2016 00:00:00 -0500",75,25
"Thu, 30 Jun 2016 00:00:00 -0500",74,26
"Wed, 29 Jun 2016 00:00:00 -0500",75,25
"Tue, 28 Jun 2016 00:00:00 -0500",75,25
"Mon, 27 Jun 2016 00:00:00 -0500",75,25
"Sun, 26 Jun 2016 00:00:00 -0500",74,26
"Sat, 25 Jun 2016 00:00:00 -0500",74,26
"Fri, 24 Jun 2016 00:00:00 -0500",75,25
"Thu, 23 Jun 2016 00:00:00 -0500",79,21
"Wed, 22 Jun 2016 00:00:00 -0500",77,23
"Tue, 21 Jun 2016 00:00:00 -0500",77,23
"Mon, 20 Jun 2016 00:00:00 -0500",76,24
"Sun, 19 Jun 2016 00:00:00 -0500",76,24
"Sat, 18 Jun 2016 00:00:00 -0500",76,24
"Fri, 17 Jun 2016 00:00:00 -0500",76,24
"Thu, 16 Jun 2016 00:00:00 -0500",75,25
"Wed, 15 Jun 2016 00:00:00 -0500",76,24
"Tue, 14 Jun 2016 00:00:00 -0500",73,27
"Mon, 13 Jun 2016 00:00:00 -0500",73,27
"Sun, 12 Jun 2016 00:00:00 -0500",72,28
"Sat, 11 Jun 2016 00:00:00 -0500",74,26
"Fri, 10 Jun 2016 00:00:00 -0500",74,26
"Thu, 09 Jun 2016 00:00:00 -0500",73,27
"Wed, 08 Jun 2016 00:00:00 -0500",74,26
"Tue, 07 Jun 2016 00:00:00 -0500",73,27
"Mon, 06 Jun 2016 00:00:00 -0500",72,28
"Sun, 05 Jun 2016 00:00:00 -0500",72,28
"Sat, 04 Jun 2016 00:00:00 -0500",72,28
"Fri, 03 Jun 2016 00:00:00 -0500",72,28
"Thu, 02 Jun 2016 00:00:00 -0500",69,31
"Wed, 01 Jun 2016 00:00:00 -0500",69,31
"Tue, 31 May 2016 00:00:00 -0500",67,33
"Mon, 30 May 2016 00:00:00 -0500",66,34
"Sun, 29 May 2016 00:00:00 -0500",66,34
"Sat, 28 May 2016 00:00:00 -0500",65,35
"Fri, 27 May 2016 00:00:00 -0500",65,35
"Thu, 26 May 2016 00:00:00 -0500",65,35
"Wed, 25 May 2016 00:00:00 -0500",66,34
"Tue, 24 May 2016 00:00:00 -0500",65,35
"Mon, 23 May 2016 00:00:00 -0500",67,33
"Sun, 22 May 2016 00:00:00 -0500",67,33
"Sat, 21 May 2016 00:00:00 -0500",68,32
"Fri, 20 May 2016 00:00:00 -0500",68,32
"Thu, 19 May 2016 00:00:00 -0500",69,31
"Wed, 18 May 2016 00:00:00 -0500",70,30
"Tue, 17 May 2016 00:00:00 -0500",71,29
"Mon, 16 May 2016 00:00:00 -0500",71,29
"Sun, 15 May 2016 00:00:00 -0500",71,29
"Sat, 14 May 2016 00:00:00 -0500",71,29
"Fri, 13 May 2016 00:00:00 -0500",71,29
"Thu, 12 May 2016 00:00:00 -0500",71,29
"Wed, 11 May 2016 00:00:00 -0500",72,28
"Tue, 10 May 2016 00:00:00 -0500",72,28
"Mon, 09 May 2016 00:00:00 -0500",73,27
"Sun, 08 May 2016 00:00:00 -0500",73,27
"Sat, 07 May 2016 00:00:00 -0500",73,27
"Fri, 06 May 2016 00:00:00 -0500",71,29
"Thu, 05 May 2016 00:00:00 -0500",71,29
"Wed, 04 May 2016 00:00:00 -0500",70,30
"Tue, 03 May 2016 00:00:00 -0500",70,30
"Mon, 02 May 2016 00:00:00 -0500",70,30
"Sun, 01 May 2016 00:00:00 -0500",71,29
"Sat, 30 Apr 2016 00:00:00 -0500",71,29
"Fri, 29 Apr 2016 00:00:00 -0500",72,28
"Thu, 28 Apr 2016 00:00:00 -0500",72,28
"Wed, 27 Apr 2016 00:00:00 -0500",74,26
"Tue, 26 Apr 2016 00:00:00 -0500",73,27
"Mon, 25 Apr 2016 00:00:00 -0500",73,27
"Sun, 24 Apr 2016 00:00:00 -0500",73,27
"Sat, 23 Apr 2016 00:00:00 -0500",73,27
"Fri, 22 Apr 2016 00:00:00 -0500",74,26
"Thu, 21 Apr 2016 00:00:00 -0500",74,26
"Wed, 20 Apr 2016 00:00:00 -0500",74,26
"Tue, 19 Apr 2016 00:00:00 -0500",75,25
"Mon, 18 Apr 2016 00:00:00 -0500",75,25
"Sun, 17 Apr 2016 00:00:00 -0500",75,25
"Sat, 16 Apr 2016 00:00:00 -0500",74,26
"Fri, 15 Apr 2016 00:00:00 -0500",74,26
"Thu, 14 Apr 2016 00:00:00 -0500",75,25
"Wed, 13 Apr 2016 00:00:00 -0500",74,26
"Tue, 12 Apr 2016 00:00:00 -0500",74,26
"Mon, 11 Apr 2016 00:00:00 -0500",73,27
"Sun, 10 Apr 2016 00:00:00 -0500",72,28
"Sat, 09 Apr 2016 00:00:00 -0500",73,27
"Fri, 08 Apr 2016 00:00:00 -0500",72,28
"Thu, 07 Apr 2016 00:00:00 -0500",72,28
"Wed, 06 Apr 2016 00:00:00 -0500",72,28
"Tue, 05 Apr 2016 00:00:00 -0500",72,28
"Mon, 04 Apr 2016 00:00:00 -0500",71,29
"Sun, 03 Apr 2016 00:00:00 -0500",72,28
"Sat, 02 Apr 2016 00:00:00 -0500",71,29
"Fri, 01 Apr 2016 00:00:00 -0500",71,29
"Thu, 31 Mar 2016 00:00:00 -0500",72,28
"Wed, 30 Mar 2016 00:00:00 -0500",72,28
"Tue, 29 Mar 2016 00:00:00 -0500",72,28
"Mon, 28 Mar 2016 00:00:00 -0500",72,28
"Sun, 27 Mar 2016 00:00:00 -0500",71,29
"Sat, 26 Mar 2016 00:00:00 -0500",71,29
"Fri, 25 Mar 2016 00:00:00 -0500",71,29
"Thu, 24 Mar 2016 00:00:00 -0500",71,29
"Wed, 23 Mar 2016 00:00:00 -0500",71,29
"Tue, 22 Mar 2016 00:00:00 -0500",71,29
"Mon, 21 Mar 2016 00:00:00 -0500",71,29
"Sun, 20 Mar 2016 00:00:00 -0500",71,29
"Sat, 19 Mar 2016 00:00:00 -0500",72,28
"Fri, 18 Mar 2016 00:00:00 -0500",71,29
"Thu, 17 Mar 2016 00:00:00 -0500",72,28
"Wed, 16 Mar 2016 00:00:00 -0500",71,29
"Tue, 15 Mar 2016 00:00:00 -0500",72,28
"Mon, 14 Mar 2016 00:00:00 -0500",69,31
"Sun, 13 Mar 2016 00:00:00 -0600",69,31
"Sat, 12 Mar 2016 00:00:00 -0600",69,31
"Fri, 11 Mar 2016 00:00:00 -0600",68,32
"Thu, 10 Mar 2016 00:00:00 -0600",68,32
"Wed, 09 Mar 2016 00:00:00 -0600",69,31
"Tue, 08 Mar 2016 00:00:00 -0600",67,33
"Mon, 07 Mar 2016 00:00:00 -0600",67,33
"Sun, 06 Mar 2016 00:00:00 -0600",65,35
"Sat, 05 Mar 2016 00:00:00 -0600",66,34
"Fri, 04 Mar 2016 00:00:00 -0600",65,35
"Thu, 03 Mar 2016 00:00:00 -0600",64,36
"Wed, 02 Mar 2016 00:00:00 -0600",63,37
"Tue, 01 Mar 2016 00:00:00 -0600",64,36
"Mon, 29 Feb 2016 00:00:00 -0600",64,36
"Sun, 28 Feb 2016 00:00:00 -0600",63,37
"Sat, 27 Feb 2016 00:00:00 -0600",61,39
"Fri, 26 Feb 2016 00:00:00 -0600",61,39
"Thu, 25 Feb 2016 00:00:00 -0600",62,38
"Wed, 24 Feb 2016 00:00:00 -0600",62,38
"Tue, 23 Feb 2016 00:00:00 -0600",62,38
"Mon, 22 Feb 2016 00:00:00 -0600",60,40
"Sun, 21 Feb 2016 00:00:00 -0600",60,40
"Sat, 20 Feb 2016 00:00:00 -0600",61,39
"Fri, 19 Feb 2016 00:00:00 -0600",61,39
"Thu, 18 Feb 2016 00:00:00 -0600",61,39
"Wed, 17 Feb 2016 00:00:00 -0600",62,38
"Tue, 16 Feb 2016 00:00:00 -0600",61,39
"Mon, 15 Feb 2016 00:00:00 -0600",62,38
"Sun, 14 Feb 2016 00:00:00 -0600",61,39
"Sat, 13 Feb 2016 00:00:00 -0600",61,39
"Fri, 12 Feb 2016 00:00:00 -0600",61,39
"Thu, 11 Feb 2016 00:00:00 -0600",61,39
"Wed, 10 Feb 2016 00:00:00 -0600",61,39
"Tue, 09 Feb 2016 00:00:00 -0600",61,39
"Mon, 08 Feb 2016 00:00:00 -0600",60,40
"Sun, 07 Feb 2016 00:00:00 -0600",60,40
"Sat, 06 Feb 2016 00:00:00 -0600",61,39
"Fri, 05 Feb 2016 00:00:00 -0600",61,39
"Thu, 04 Feb 2016 00:00:00 -0600",61,39
"Wed, 03 Feb 2016 00:00:00 -0600",61,39
"Tue, 02 Feb 2016 00:00:00 -0600",62,38
"Mon, 01 Feb 2016 00:00:00 -0600",63,37
"Sun, 31 Jan 2016 00:00:00 -0600",62,38
"Sat, 30 Jan 2016 00:00:00 -0600",62,38
"Fri, 29 Jan 2016 00:00:00 -0600",62,38
"Thu, 28 Jan 2016 00:00:00 -0600",61,39
"Wed, 27 Jan 2016 00:00:00 -0600",62,38
"Tue, 26 Jan 2016 00:00:00 -0600",62,38
"Mon, 25 Jan 2016 00:00:00 -0600",62,38
"Sun, 24 Jan 2016 00:00:00 -0600",62,38
"Sat, 23 Jan 2016 00:00:00 -0600",63,37
"Fri, 22 Jan 2016 00:00:00 -0600",63,37
"Thu, 21 Jan 2016 00:00:00 -0600",61,39
"Wed, 20 Jan 2016 00:00:00 -0600",63,37
"Tue, 19 Jan 2016 00:00:00 -0600",62,38
"Mon, 18 Jan 2016 00:00:00 -0600",63,37
"Sun, 17 Jan 2016 00:00:00 -0600",62,38
"Sat, 16 Jan 2016 00:00:00 -0600",63,37
"Fri, 15 Jan 2016 00:00:00 -0600",63,37
"Thu, 14 Jan 2016 00:00:00 -0600",63,37
"Wed, 13 Jan 2016 00:00:00 -0600",62,38
"Tue, 12 Jan 2016 00:00:00 -0600",63,37
"Mon, 11 Jan 2016 00:00:00 -0600",63,37
"Sun, 10 Jan 2016 00:00:00 -0600",63,37
"Sat, 09 Jan 2016 00:00:00 -0600",64,36
"Fri, 08 Jan 2016 00:00:00 -0600",64,36
"Thu, 07 Jan 2016 00:00:00 -0600",63,37
"Wed, 06 Jan 2016 00:00:00 -0600",64,36
"Tue, 05 Jan 2016 00:00:00 -0600",64,36
"Mon, 04 Jan 2016 00:00:00 -0600",63,37
"Sun, 03 Jan 2016 00:00:00 -0600",63,37
"Sat, 02 Jan 2016 00:00:00 -0600",63,37
"Fri, 01 Jan 2016 00:00:00 -0600",63,37
"Thu, 31 Dec 2015 00:00:00 -0600",63,37
"Wed, 30 Dec 2015 00:00:00 -0600",63,37
"Tue, 29 Dec 2015 00:00:00 -0600",63,37
"Mon, 28 Dec 2015 00:00:00 -0600",63,37
"Sun, 27 Dec 2015 00:00:00 -0600",62,38
"Sat, 26 Dec 2015 00:00:00 -0600",63,37
"Fri, 25 Dec 2015 00:00:00 -0600",62,38
"Thu, 24 Dec 2015 00:00:00 -0600",62,38
"Wed, 23 Dec 2015 00:00:00 -0600",62,38
"Tue, 22 Dec 2015 00:00:00 -0600",62,38
"Mon, 21 Dec 2015 00:00:00 -0600",62,38
"Sun, 20 Dec 2015 00:00:00 -0600",62,38
"Sat, 19 Dec 2015 00:00:00 -0600",62,38
"Fri, 18 Dec 2015 00:00:00 -0600",62,38
"Thu, 17 Dec 2015 00:00:00 -0600",63,37
"Wed, 16 Dec 2015 00:00:00 -0600",63,37
"Tue, 15 Dec 2015 00:00:00 -0600",62,38
"Mon, 14 Dec 2015 00:00:00 -0600",62,38
