date,dem_pct_bo,gop_pct_bo
"Tue, 03 Nov 2020 00:00:00 -0500",63.8,35.4
"Mon, 02 Nov 2020 00:00:00 -0500",63.6,35.4
"Sun, 01 Nov 2020 00:00:00 -0400",64.5,34.5
"Sat, 31 Oct 2020 00:00:00 -0400",64.6,34.6
"Fri, 30 Oct 2020 00:00:00 -0400",64.0,35.0
"Thu, 29 Oct 2020 00:00:00 -0400",63.5,35.9
"Wed, 28 Oct 2020 00:00:00 -0400",63.8,35.1
"Tue, 27 Oct 2020 00:00:00 -0400",64.0,35.0
"Mon, 26 Oct 2020 00:00:00 -0400",64.6,34.5
"Sun, 25 Oct 2020 00:00:00 -0400",66.4,34.8
"Sat, 24 Oct 2020 00:00:00 -0400",65.9,35.1
"Fri, 23 Oct 2020 00:00:00 -0400",65.5,35.4
"Thu, 22 Oct 2020 00:00:00 -0400",65.6,35.4
"Wed, 21 Oct 2020 00:00:00 -0400",63.4,37.1
"Tue, 20 Oct 2020 00:00:00 -0400",61.6,38.8
"Mon, 19 Oct 2020 00:00:00 -0400",61.1,39.1
"Sun, 18 Oct 2020 00:00:00 -0400",60.1,40.3
"Sat, 17 Oct 2020 00:00:00 -0400",62.1,38.3
"Fri, 16 Oct 2020 00:00:00 -0400",63.9,36.4
"Thu, 15 Oct 2020 00:00:00 -0400",65.1,35.3
"Wed, 14 Oct 2020 00:00:00 -0400",65.9,34.5
"Tue, 13 Oct 2020 00:00:00 -0400",66.0,34.4
"Mon, 12 Oct 2020 00:00:00 -0400",66.6,33.6
"Sun, 11 Oct 2020 00:00:00 -0400",67.5,32.8
"Sat, 10 Oct 2020 00:00:00 -0400",65.4,34.5
"Fri, 09 Oct 2020 00:00:00 -0400",64.5,35.0
"Thu, 08 Oct 2020 00:00:00 -0400",64.5,35.1
"Wed, 07 Oct 2020 00:00:00 -0400",64.0,35.4
"Tue, 06 Oct 2020 00:00:00 -0400",64.0,35.2
"Mon, 05 Oct 2020 00:00:00 -0400",60.2,38.0
"Sun, 04 Oct 2020 00:00:00 -0400",61.0,37.5
"Sat, 03 Oct 2020 00:00:00 -0400",61.0,37.5
"Fri, 02 Oct 2020 00:00:00 -0400",61.0,37.5
"Thu, 01 Oct 2020 00:00:00 -0400",61.3,39.3
"Wed, 30 Sep 2020 00:00:00 -0400",59.8,40.8
"Tue, 29 Sep 2020 00:00:00 -0400",54.5,45.0
"Mon, 28 Sep 2020 00:00:00 -0400",54.8,44.3
"Sun, 27 Sep 2020 00:00:00 -0400",54.1,45.5
"Sat, 26 Sep 2020 00:00:00 -0400",53.1,46.4
"Fri, 25 Sep 2020 00:00:00 -0400",53.8,45.8
"Thu, 24 Sep 2020 00:00:00 -0400",53.5,45.6
"Wed, 23 Sep 2020 00:00:00 -0400",53.3,46.3
"Tue, 22 Sep 2020 00:00:00 -0400",53.9,45.3
"Mon, 21 Sep 2020 00:00:00 -0400",53.4,45.9
"Sun, 20 Sep 2020 00:00:00 -0400",53.1,46.3
"Sat, 19 Sep 2020 00:00:00 -0400",53.1,46.4
"Fri, 18 Sep 2020 00:00:00 -0400",53.9,45.4
"Thu, 17 Sep 2020 00:00:00 -0400",52.3,47.0
"Wed, 16 Sep 2020 00:00:00 -0400",52.5,46.8
"Tue, 15 Sep 2020 00:00:00 -0400",52.7,46.7
"Mon, 14 Sep 2020 00:00:00 -0400",52.5,46.8
"Sun, 13 Sep 2020 00:00:00 -0400",52.8,46.3
"Sat, 12 Sep 2020 00:00:00 -0400",53.0,46.0
"Fri, 11 Sep 2020 00:00:00 -0400",53.0,46.4
"Thu, 10 Sep 2020 00:00:00 -0400",53.0,46.3
"Wed, 09 Sep 2020 00:00:00 -0400",53.2,46.3
"Tue, 08 Sep 2020 00:00:00 -0400",53.0,46.9
"Mon, 07 Sep 2020 00:00:00 -0400",53.8,45.5
"Sun, 06 Sep 2020 00:00:00 -0400",51.5,47.8
"Sat, 05 Sep 2020 00:00:00 -0400",50.4,49.0
"Fri, 04 Sep 2020 00:00:00 -0400",50.7,48.7
"Thu, 03 Sep 2020 00:00:00 -0400",50.6,48.9
"Wed, 02 Sep 2020 00:00:00 -0400",50.0,49.5
"Tue, 01 Sep 2020 00:00:00 -0400",50.2,49.7
"Mon, 31 Aug 2020 00:00:00 -0400",50.5,48.5
"Sun, 30 Aug 2020 00:00:00 -0400",50.6,48.7
"Sat, 29 Aug 2020 00:00:00 -0400",51.8,47.8
"Fri, 28 Aug 2020 00:00:00 -0400",53.0,46.5
"Thu, 27 Aug 2020 00:00:00 -0400",53.7,46.3
"Wed, 26 Aug 2020 00:00:00 -0400",54.4,45.1
"Tue, 25 Aug 2020 00:00:00 -0400",55.0,44.1
"Mon, 24 Aug 2020 00:00:00 -0400",55.3,43.7
"Sun, 23 Aug 2020 00:00:00 -0400",55.7,43.4
"Sat, 22 Aug 2020 00:00:00 -0400",55.6,43.3
"Fri, 21 Aug 2020 00:00:00 -0400",56.4,42.7
"Thu, 20 Aug 2020 00:00:00 -0400",56.7,42.5
"Wed, 19 Aug 2020 00:00:00 -0400",56.6,42.1
"Tue, 18 Aug 2020 00:00:00 -0400",56.9,42.3
"Mon, 17 Aug 2020 00:00:00 -0400",56.9,41.7
"Sun, 16 Aug 2020 00:00:00 -0400",56.6,41.6
"Sat, 15 Aug 2020 00:00:00 -0400",57.9,40.1
"Fri, 14 Aug 2020 00:00:00 -0400",58.1,39.9
"Thu, 13 Aug 2020 00:00:00 -0400",58.3,39.4
"Wed, 12 Aug 2020 00:00:00 -0400",58.4,39.0
"Tue, 11 Aug 2020 00:00:00 -0400",58.6,39.0
"Mon, 10 Aug 2020 00:00:00 -0400",58.7,39.1
"Sun, 09 Aug 2020 00:00:00 -0400",58.9,39.0
"Sat, 08 Aug 2020 00:00:00 -0400",59.3,38.7
"Fri, 07 Aug 2020 00:00:00 -0400",59.7,37.9
"Thu, 06 Aug 2020 00:00:00 -0400",60.0,37.7
"Wed, 05 Aug 2020 00:00:00 -0400",60.9,36.9
"Tue, 04 Aug 2020 00:00:00 -0400",60.9,36.9
"Mon, 03 Aug 2020 00:00:00 -0400",60.9,36.6
"Sun, 02 Aug 2020 00:00:00 -0400",60.7,36.7
"Sat, 01 Aug 2020 00:00:00 -0400",61.0,36.4
"Fri, 31 Jul 2020 00:00:00 -0400",61.0,36.9
"Thu, 30 Jul 2020 00:00:00 -0400",60.9,37.0
"Wed, 29 Jul 2020 00:00:00 -0400",60.7,37.0
"Tue, 28 Jul 2020 00:00:00 -0400",60.9,36.6
"Mon, 27 Jul 2020 00:00:00 -0400",60.6,36.5
"Sun, 26 Jul 2020 00:00:00 -0400",60.7,36.4
"Sat, 25 Jul 2020 00:00:00 -0400",60.7,36.4
"Fri, 24 Jul 2020 00:00:00 -0400",60.7,36.3
"Thu, 23 Jul 2020 00:00:00 -0400",60.7,36.4
"Wed, 22 Jul 2020 00:00:00 -0400",60.1,36.1
"Tue, 21 Jul 2020 00:00:00 -0400",60.3,36.1
"Mon, 20 Jul 2020 00:00:00 -0400",60.4,36.0
"Sun, 19 Jul 2020 00:00:00 -0400",59.9,36.3
"Sat, 18 Jul 2020 00:00:00 -0400",59.6,36.7
"Fri, 17 Jul 2020 00:00:00 -0400",59.4,36.9
"Thu, 16 Jul 2020 00:00:00 -0400",59.4,36.9
"Wed, 15 Jul 2020 00:00:00 -0400",59.0,37.0
"Tue, 14 Jul 2020 00:00:00 -0400",58.6,37.6
"Mon, 13 Jul 2020 00:00:00 -0400",58.3,38.0
"Sun, 12 Jul 2020 00:00:00 -0400",57.9,38.3
"Sat, 11 Jul 2020 00:00:00 -0400",57.6,38.3
"Fri, 10 Jul 2020 00:00:00 -0400",58.1,38.1
"Thu, 09 Jul 2020 00:00:00 -0400",57.6,38.5
"Wed, 08 Jul 2020 00:00:00 -0400",57.0,38.7
"Tue, 07 Jul 2020 00:00:00 -0400",56.3,39.3
"Mon, 06 Jul 2020 00:00:00 -0400",56.5,39.3
"Sun, 05 Jul 2020 00:00:00 -0400",57.3,38.3
"Sat, 04 Jul 2020 00:00:00 -0400",58.7,37.3
"Fri, 03 Jul 2020 00:00:00 -0400",59.0,36.6
"Thu, 02 Jul 2020 00:00:00 -0400",59.0,36.6
"Wed, 01 Jul 2020 00:00:00 -0400",59.1,36.4
"Tue, 30 Jun 2020 00:00:00 -0400",59.4,36.3
"Mon, 29 Jun 2020 00:00:00 -0400",58.6,36.6
"Sun, 28 Jun 2020 00:00:00 -0400",59.1,36.6
