year,state,county_fips,average_percentage_democrat,average_percentage_republican
2016,Alabama,1001,26.180426818500873,73.11594451908681
2016,Alabama,1003,22.70068312809681,76.30887445697658
2016,Alabama,1005,50.17693842651984,49.33082539538574
2016,Alabama,1007,26.374251056023375,72.63495830315208
2016,Alabama,1009,13.44272196260491,85.24266690569704
2016,Alabama,1011,75.18896109912234,24.597052323444938
2016,Alabama,1013,44.5983674637078,55.03194942064281
2016,Alabama,1015,33.351546272676075,65.57396406189471
2016,Alabama,1017,46.24311458708372,53.065885788878234
2016,Alabama,1019,22.732618682005203,75.82300078528712
2016,Alabama,1021,20.055764286687406,79.13889373405289
2016,Alabama,1023,46.78767960110012,52.802380029365
2016,Alabama,1025,44.874451325321914,54.75119658993933
2016,Alabama,1027,26.2419538375499,72.69775490445599
2016,Alabama,1029,16.69592490580733,81.98060884304383
2016,Alabama,1031,25.072493803944084,74.1518668483265
2016,Alabama,1033,39.1266727854002,59.4611700930206
2016,Alabama,1035,50.007237392589275,49.4765233014095
2016,Alabama,1037,41.221045825543854,58.12626548256045
2016,Alabama,1039,20.499563950899372,78.81112419471296
2016,Alabama,1041,31.373663990151684,68.06785690915893
2016,Alabama,1043,15.63564885958056,83.00336570508951
2016,Alabama,1045,27.881320225267547,71.25506176426256
2016,Alabama,1047,68.40486667753262,31.30560588275593
2016,Alabama,1049,22.75738252160476,75.79588351994275
2016,Alabama,1051,24.711892166153447,74.55106299417344
2016,Alabama,1053,36.13539023138178,63.173658602011244
2016,Alabama,1055,30.136557304232404,68.44070537476387
2016,Alabama,1057,23.963273555592874,75.06208885596729
2016,Alabama,1059,29.434453134594094,69.25581830595354
2016,Alabama,1061,18.159482192867934,80.91765749268475
2016,Alabama,1063,83.87717226699425,15.78445181035487
2016,Alabama,1065,61.62906060182719,38.04887939056818
2016,Alabama,1067,35.046153147559124,64.41399072396183
2016,Alabama,1069,29.397400029779682,69.96072474826099
2016,Alabama,1071,29.41466026213027,68.81864189671523
2016,Alabama,1073,52.37917444667103,46.84311787375814
2016,Alabama,1075,22.891149706752245,76.37245473077124
2016,Alabama,1077,34.4318453611373,63.96065584311124
2016,Alabama,1079,35.548448148560055,63.03873797475393
2016,Alabama,1081,39.45294688995007,59.276450597008065
2016,Alabama,1083,28.070869771787613,70.83531169680492
2016,Alabama,1085,75.64109035508491,24.101844322020902
2016,Alabama,1087,86.95096608182078,12.819942973514486
2016,Alabama,1089,40.96433586863229,57.7449719724445
2016,Alabama,1091,52.557406901041276,47.16883538226992
2016,Alabama,1093,19.81160562065603,78.64536011370895
2016,Alabama,1095,20.281392921644326,78.49993486987785
2016,Alabama,1097,45.16923644574348,54.15543104422663
2016,Alabama,1099,45.27482500599902,54.246626441274515
2016,Alabama,1101,60.622569656096175,38.868077672890166
2016,Alabama,1103,27.36945510223142,71.50456619131288
2016,Alabama,1105,73.63158397881617,25.976745766615736
2016,Alabama,1107,45.99369377599591,53.646128115696214
2016,Alabama,1109,42.45422474496692,56.90147017584827
2016,Alabama,1111,29.554390126582952,69.28579311506806
2016,Alabama,1113,54.46741275955867,44.934668670663996
2016,Alabama,1115,17.186476692769585,81.85355203798831
2016,Alabama,1117,22.214608866021752,76.70563473967842
2016,Alabama,1119,76.06552584921732,23.614103233072925
2016,Alabama,1121,40.97509008426856,58.234756890031775
2016,Alabama,1123,32.47827373666499,66.8772276242707
2016,Alabama,1125,41.1694720033659,57.87487284442125
2016,Alabama,1127,24.443524014916342,74.11776726939382
2016,Alabama,1129,34.42725305883201,65.03151624204256
2016,Alabama,1131,72.6643341431803,27.19734435887345
2016,Alabama,1133,15.377162995660541,83.1734029285825
2016,Alaska,2001,28.45890200983458,67.95933435818658
2016,Alaska,2002,39.50744773001342,56.45353873329144
2016,Alaska,2003,49.02032297563984,47.18561154156575
2016,Alaska,2004,44.914407411875,51.04040509733379
2016,Alaska,2005,46.19225790076371,48.77561499884083
2016,Alaska,2006,30.988318002343462,64.73260000219634
2016,Alaska,2007,32.608104742914165,63.53489340121822
2016,Alaska,2008,36.83707739146628,59.48580512180945
2016,Alaska,2009,30.885957199862485,65.64948722623821
2016,Alaska,2010,28.696698748053365,67.70861372356877
2016,Alaska,2011,22.622863671306973,74.29398570669707
2016,Alaska,2012,27.27404114392984,69.18801344074994
2016,Alaska,2013,33.392289944970486,63.54505386698424
2016,Alaska,2014,33.82272072065051,63.198991846177634
2016,Alaska,2015,36.76625185941465,59.388725029184464
2016,Alaska,2016,40.26300239157228,56.36235697598066
2016,Alaska,2017,45.08287521295355,51.84020770686594
2016,Alaska,2018,46.599084636052346,50.25410532897665
2016,Alaska,2019,45.88900712967725,51.11074527843381
2016,Alaska,2020,43.4188105916093,53.20724107060988
2016,Alaska,2021,39.72082709518797,57.55412608215434
2016,Alaska,2022,46.95851893960038,49.70996900832385
2016,Alaska,2023,47.68887890176755,49.25143151550855
2016,Alaska,2024,43.43930007856122,53.67548748138579
2016,Alaska,2025,46.674511431079395,49.983877159763054
2016,Alaska,2026,40.8193506753975,56.42390868286621
2016,Alaska,2027,39.03422596600116,58.142244968879965
2016,Alaska,2028,31.545091628200577,65.2061161906077
2016,Alaska,2029,31.340731185800223,65.6774192380048
2016,Alaska,2030,37.80239805697272,58.836698395698704
2016,Alaska,2031,42.65455113376106,54.00185999075507
2016,Alaska,2032,52.147490588012246,44.14036049944476
2016,Alaska,2033,29.901050102225632,65.58276091882739
2016,Alaska,2034,37.042999354061664,58.926442674439855
2016,Alaska,2035,42.79498489832136,53.52972933684683
