year,state_name,county_fips,dem_pct_avg,gop_pct_avg,gop_pct_estimate,dem_pct_estimate,adjusted_gop_pct_estimate,adjusted_dem_pct_estimate
2016,Alabama,1001,26.180426818500877,73.11594451908681,66.27278179282868,33.06758888446215,70.808,30.79
2016,Alabama,1003,22.70068312809681,76.30887445697658,66.27278179282868,33.06758888446215,72.924,29.64
2016,Alabama,1005,50.17693842651984,49.33082539538574,66.27278179282868,33.06758888446215,55.045,38.725
2016,Alabama,1007,26.374251056023372,72.63495830315208,66.27278179282868,33.06758888446215,70.489,30.854
2016,Alabama,1009,13.44272196260491,85.24266690569704,66.27278179282868,33.06758888446215,78.845,26.578
2016,Alabama,1011,75.18896109912234,24.597052323444935,66.27278179282868,33.06758888446215,38.653,46.996
2016,Alabama,1013,44.5983674637078,55.03194942064281,66.27278179282868,33.06758888446215,58.823,36.881
2016,Alabama,1015,33.351546272676075,65.57396406189471,66.27278179282868,33.06758888446215,65.81,33.161
2016,Alabama,1017,46.24311458708372,53.06588578887824,66.27278179282868,33.06758888446215,57.52,37.424
2016,Alabama,1019,22.732618682005203,75.82300078528712,66.27278179282868,33.06758888446215,72.602,29.65
2016,Alabama,1021,20.05576428668741,79.13889373405289,66.27278179282868,33.06758888446215,74.8,28.765
2016,Alabama,1023,46.78767960110012,52.802380029365,66.27278179282868,33.06758888446215,57.346,37.604
2016,Alabama,1025,44.87445132532192,54.75119658993933,66.27278179282868,33.06758888446215,58.637,36.972
2016,Alabama,1027,26.2419538375499,72.69775490445599,66.27278179282868,33.06758888446215,70.531,30.811
2016,Alabama,1029,16.69592490580733,81.98060884304383,66.27278179282868,33.06758888446215,76.683,27.654
2016,Alabama,1031,25.072493803944084,74.1518668483265,66.27278179282868,33.06758888446215,71.494,30.424
2016,Alabama,1033,39.1266727854002,59.4611700930206,66.27278179282868,33.06758888446215,61.759,35.071
2016,Alabama,1035,50.00723739258928,49.4765233014095,66.27278179282868,33.06758888446215,55.141,38.669
2016,Alabama,1037,41.221045825543854,58.12626548256045,66.27278179282868,33.06758888446215,60.874,35.764
2016,Alabama,1039,20.49956395089937,78.81112419471296,66.27278179282868,33.06758888446215,74.582,28.912
2016,Alabama,1041,31.373663990151684,68.06785690915893,66.27278179282868,33.06758888446215,67.462,32.507
2016,Alabama,1043,15.63564885958056,83.00336570508951,66.27278179282868,33.06758888446215,77.361,27.303
2016,Alabama,1045,27.881320225267547,71.25506176426256,66.27278179282868,33.06758888446215,69.575,31.353
2016,Alabama,1047,68.40486667753262,31.30560588275593,66.27278179282868,33.06758888446215,43.099,44.753
2016,Alabama,1049,22.75738252160476,75.79588351994275,66.27278179282868,33.06758888446215,72.584,29.658
2016,Alabama,1051,24.711892166153447,74.55106299417344,66.27278179282868,33.06758888446215,71.759,30.305
2016,Alabama,1053,36.13539023138178,63.17365860201125,66.27278179282868,33.06758888446215,64.219,34.082
2016,Alabama,1055,30.136557304232404,68.44070537476387,66.27278179282868,33.06758888446215,67.71,32.098
2016,Alabama,1057,23.963273555592878,75.06208885596729,66.27278179282868,33.06758888446215,72.098,30.057
2016,Alabama,1059,29.434453134594094,69.25581830595354,66.27278179282868,33.06758888446215,68.25,31.866
2016,Alabama,1061,18.159482192867934,80.91765749268475,66.27278179282868,33.06758888446215,75.978,28.138
2016,Alabama,1063,83.87717226699425,15.78445181035487,66.27278179282868,33.06758888446215,32.813,49.869
2016,Alabama,1065,61.62906060182719,38.04887939056818,66.27278179282868,33.06758888446215,47.568,42.512
2016,Alabama,1067,35.046153147559124,64.41399072396183,66.27278179282868,33.06758888446215,65.041,33.722
2016,Alabama,1069,29.39740002977968,69.96072474826099,66.27278179282868,33.06758888446215,68.717,31.854
2016,Alabama,1071,29.41466026213027,68.81864189671523,66.27278179282868,33.06758888446215,67.96,31.86
2016,Alabama,1073,52.37917444667103,46.84311787375814,66.27278179282868,33.06758888446215,53.396,39.453
2016,Alabama,1075,22.891149706752245,76.37245473077124,66.27278179282868,33.06758888446215,72.966,29.702
2016,Alabama,1077,34.4318453611373,63.96065584311124,66.27278179282868,33.06758888446215,64.74,33.519
2016,Alabama,1079,35.548448148560055,63.03873797475393,66.27278179282868,33.06758888446215,64.129,33.888
2016,Alabama,1081,39.45294688995007,59.27645059700807,66.27278179282868,33.06758888446215,61.636,35.179
2016,Alabama,1083,28.070869771787613,70.83531169680492,66.27278179282868,33.06758888446215,69.296,31.415
2016,Alabama,1085,75.64109035508491,24.101844322020906,66.27278179282868,33.06758888446215,38.325,47.146
2016,Alabama,1087,86.95096608182078,12.819942973514486,66.27278179282868,33.06758888446215,30.848,50.886
2016,Alabama,1089,40.96433586863229,57.7449719724445,66.27278179282868,33.06758888446215,60.621,35.679
2016,Alabama,1091,52.55740690104128,47.16883538226992,66.27278179282868,33.06758888446215,53.612,39.512
2016,Alabama,1093,19.81160562065603,78.64536011370895,66.27278179282868,33.06758888446215,74.472,28.684
2016,Alabama,1095,20.28139292164433,78.49993486987785,66.27278179282868,33.06758888446215,74.376,28.84
2016,Alabama,1097,45.16923644574348,54.15543104422663,66.27278179282868,33.06758888446215,58.242,37.069
2016,Alabama,1099,45.27482500599902,54.24662644127452,66.27278179282868,33.06758888446215,58.303,37.104
2016,Alabama,1101,60.622569656096175,38.868077672890166,66.27278179282868,33.06758888446215,48.111,42.179
2016,Alabama,1103,27.36945510223142,71.50456619131288,66.27278179282868,33.06758888446215,69.74,31.183
2016,Alabama,1105,73.63158397881617,25.976745766615736,66.27278179282868,33.06758888446215,39.567,46.481
